test_id,text,expected_facet,resolved_facet_id,fused_candidate_count,target_rank,predicted_status,predicted_score,latency_ms,parse_state,failure_category,is_pass
TEST_001,I signed up for a solo skydiving trip even though I had never tried it before.,Risktaking,FACET_001,19,2,scored,4.0,43453.29,truncated_recovery,NONE,True
TEST_002,He immediately believed the stranger who promised to double his money.,Naivety,FACET_002,19,6,scored,4.0,43731.12,truncated_recovery,NONE,True
TEST_003,We voted together and chose the option supported by most of the team.,Democratic Leadership,FACET_004,20,999,abstained,0.0,42768.39,truncated_recovery,RETRIEVAL_FAILURE,False
TEST_004,I tend to pause for a long time before making an important decision.,Hesitation,FACET_006,15,11,scored,4.0,40134.62,truncated_recovery,NONE,True
TEST_005,I keep complaining that nothing at work is ever good enough.,Discontentment,FACET_007,18,8,scored,4.0,43686.83,truncated_recovery,NONE,True
TEST_006,"Whenever my friend goes out, I keep checking whether they are safe.",Overprotectiveness,FACET_008,17,8,scored,3.0,42778.51,truncated_recovery,NONE,True
TEST_007,That was hilarious—I couldn't stop laughing for ten minutes.,Merriness,FACET_009,20,7,abstained,0.0,43127.35,truncated_recovery,MODEL_SEMANTIC_FAILURE,False
TEST_008,I got so emotional during the movie that I had to take a break.,Emotionalism,FACET_010,18,12,scored,3.0,42138.01,valid_array,NONE,True
TEST_009,I started a course because I want to improve my Python skills.,Self-improvement,FACET_011,19,999,abstained,0.0,43089.54,truncated_recovery,RETRIEVAL_FAILURE,False
TEST_010,"The sample mean is 18.4, but the median is 12, so the distribution is probably skewed.",Statistical Reasoning,FACET_012,20,999,abstained,0.0,43866.77,truncated_recovery,RETRIEVAL_FAILURE,False
TEST_011,I told my teammate firmly that the deadline cannot be moved again.,Assertiveness and control in relationships,FACET_013,19,999,abstained,0.0,43150.09,truncated_recovery,RETRIEVAL_FAILURE,False
TEST_012,I quietly changed the plan so that the other person would agree without noticing.,Cunningness,FACET_014,20,999,abstained,0.0,43244.12,truncated_recovery,RETRIEVAL_FAILURE,False
TEST_013,Next month I want to try rock climbing and a multi-day trek.,Adventure-Seeking Behavior,FACET_015,19,11,scored,4.0,43887.72,truncated_recovery,NONE,True
TEST_014,"After helping customers all day, I feel emotionally drained and have little empathy left.",Compassion Fatigue,FACET_016,19,11,scored,4.0,42968.95,truncated_recovery,NONE,True
TEST_015,"Everything feels gloomy lately, and I don't expect much to improve.",Moroseness,FACET_017,19,999,abstained,0.0,43384.97,truncated_recovery,RETRIEVAL_FAILURE,False
TEST_016,I have worked mainly on database optimization for six years.,Specialist,FACET_018,20,999,abstained,0.0,43151.94,truncated_recovery,RETRIEVAL_FAILURE,False
TEST_017,I prefer to keep my distance at parties rather than join conversations.,Aloofness,FACET_019,19,999,abstained,0.0,42588.81,truncated_recovery,RETRIEVAL_FAILURE,False
TEST_018,"I made a mistake, admitted it immediately, and apologized.",Genuine,FACET_020,19,13,scored,4.0,43449.77,truncated_recovery,NONE,True
TEST_019,"The project failed twice, but I kept working until I found the bug.",Determinedness,FACET_021,20,999,abstained,0.0,42715.49,truncated_recovery,RETRIEVAL_FAILURE,False
TEST_020,I returned the extra change because keeping it would be dishonest.,HonestyHumility,MISSING,18,999,abstained,0.0,42633.02,truncated_recovery,FACET_RESOLUTION_FAILURE,False
TEST_021,I try to learn what matters to people before building a long-term relationship with them.,Relationship Building Themes,FACET_023,20,999,abstained,0.0,42872.36,truncated_recovery,RETRIEVAL_FAILURE,False
TEST_022,I enjoy difficult problems even when there is no reward for solving them.,Pure Challenge,FACET_024,20,12,scored,4.0,34411.66,truncated_recovery,NONE,True
TEST_023,"If 3 out of 5 experiments improve, I would not call that proof without considering the sample size.",Numerical Reasoning Subcomponents,FACET_025,19,999,abstained,0.0,44195.13,truncated_recovery,RETRIEVAL_FAILURE,False
TEST_024,I am comfortable discussing an opinion that is different from mine.,Openness,FACET_026,20,999,abstained,0.0,42870.18,truncated_recovery,RETRIEVAL_FAILURE,False
TEST_025,I trust myself to handle a difficult presentation.,SelfEsteem,MISSING,18,999,abstained,0.0,43249.51,truncated_recovery,FACET_RESOLUTION_FAILURE,False
TEST_026,"I sorted the IDs 100A, 20B, 3C by the specified alphanumeric order.",Comparing alphanumeric data,FACET_028,20,999,abstained,0.0,42818.07,truncated_recovery,RETRIEVAL_FAILURE,False
TEST_027,I donated part of my bonus to help a colleague who was struggling.,Big-heartedness,FACET_029,18,999,abstained,0.0,43426.88,truncated_recovery,RETRIEVAL_FAILURE,False
TEST_028,I keep checking the same lock repeatedly even after I know it is locked.,Compulsive activities,FACET_030,20,999,abstained,0.0,43476.66,truncated_recovery,RETRIEVAL_FAILURE,False
TEST_029,Calling someone stupid because they asked a basic question is disrespectful.,Disrespect,FACET_031,19,11,scored,4.0,42219.56,truncated_recovery,NONE,True
TEST_030,I do not have a laboratory result available for this value.,FSH level,FACET_032,19,999,abstained,0.0,43604.41,truncated_recovery,NONE,True
