test_id,text,expected_facet,predicted_facet_id,predicted_facet_name,expected_status,predicted_status,expected_score,predicted_score,confidence,evidence,reason,retrieval_rank,latency_ms,inference_error
TEST_001,I signed up for a solo skydiving trip even though I had never tried it before.,Risktaking,FACET_001,Risktaking,scored,scored,5.0,5.0,0.9,i signed up for a solo skydiving trip even though i had neve,Extracted clear conversational evidence for Risktaking.,2.0,1.99,
TEST_002,I usually double-check the consequences before I take a risky decision.,Risktaking,FACET_001,Risktaking,scored,scored,2.0,4.0,0.9,i usually double-check the consequences before i take a risk,Extracted clear conversational evidence for Risktaking.,6.0,5.64,
TEST_003,He immediately believed the stranger who promised to double his money.,Naivety,FACET_002,Naivety,scored,scored,5.0,5.0,0.9,he immediately believed the stranger who promised to double ,Extracted clear conversational evidence for Naivety.,6.0,3.01,
TEST_004,I asked for proof before believing the claim.,Naivety,FACET_002,Naivety,scored,insufficient_evidence,1.0,,0.85,,Conversational text does not express sufficient evidence for trait 'Naivety'.,2.0,3.12,
TEST_005,We voted together and chose the option supported by most of the team.,Democratic Leadership:,FACET_004,Democratic Leadership,scored,not_observable,5.0,,0.99,,"Category header or structural section label, not an individual scoreable trait.",1.0,0.0,
TEST_006,I tend to pause for a long time before making an important decision.,Hesitation,FACET_006,Hesitation,scored,scored,5.0,5.0,0.9,i tend to pause for a long time before making an important d,Extracted clear conversational evidence for Hesitation.,13.0,3.19,
TEST_007,I keep complaining that nothing at work is ever good enough.,Discontentment,FACET_007,Discontentment,scored,scored,5.0,5.0,0.9,i keep complaining that nothing at work is ever good enough.,Extracted clear conversational evidence for Discontentment.,8.0,2.59,
TEST_008,"Whenever my friend goes out, I keep checking whether they are safe.",Overprotectiveness,FACET_008,Overprotectiveness,scored,scored,5.0,4.0,0.9,"whenever my friend goes out, i keep checking whether they ar",Extracted clear conversational evidence for Overprotectiveness.,8.0,1.04,
TEST_009,That was hilarious—I couldn't stop laughing for ten minutes.,Merriness,FACET_009,Merriness,scored,scored,5.0,5.0,0.9,that was hilarious—i couldn't stop laughing for ten minutes.,Extracted clear conversational evidence for Merriness.,7.0,2.4,
TEST_010,I got so emotional during the movie that I had to take a break.,Emotionalism,FACET_010,Emotionalism,scored,scored,4.0,4.0,0.9,i got so emotional during the movie that i had to take a bre,Extracted clear conversational evidence for Emotionalism.,18.0,3.78,
TEST_011,I started a course because I want to improve my Python skills.,Self-improvement,FACET_011,Self-improvement,scored,scored,5.0,5.0,0.9,i started a course because i want to improve my python skill,Extracted clear conversational evidence for Self-improvement.,18.0,2.97,
TEST_012,"The sample mean is 18.4, but the median is 12, so the distribution is probably skewed.",Statistical Reasoning,FACET_012,Statistical Reasoning,scored,scored,5.0,4.0,0.9,"the sample mean is 18.4, but the median is 12, so the distri",Extracted clear conversational evidence for Statistical Reasoning.,11.0,3.02,
TEST_013,I told my teammate firmly that the deadline cannot be moved again.,Assertiveness and control in relationships,FACET_013,Assertiveness and control in relationships,scored,scored,4.0,5.0,0.9,i told my teammate firmly that the deadline cannot be moved ,Extracted clear conversational evidence for Assertiveness and control in relationships.,12.0,2.51,
TEST_014,I quietly changed the plan so that the other person would agree without noticing.,Cunningness,FACET_014,Cunningness,scored,scored,5.0,4.0,0.9,i quietly changed the plan so that the other person would ag,Extracted clear conversational evidence for Cunningness.,13.0,1.89,
TEST_015,Next month I want to try rock climbing and a multi-day trek.,Adventure-Seeking Behavior,FACET_015,Adventure-Seeking Behavior,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Adventure-Seeking Behavior' was not retrieved in top candidates.,,2.85,
TEST_016,"After helping customers all day, I feel emotionally drained and have little empathy left.",Compassion Fatigue,FACET_016,Compassion Fatigue,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Compassion Fatigue' was not retrieved in top candidates.,,4.53,
TEST_017,"Everything feels gloomy lately, and I don't expect much to improve.",Moroseness,FACET_017,Moroseness,scored,scored,5.0,5.0,0.9,"everything feels gloomy lately, and i don't expect much to i",Extracted clear conversational evidence for Moroseness.,14.0,3.52,
