case_id,conversation,expected_facet,expected_facet_normalized,bm25_rank,dense_rank,rrf_rank,final_rank,hit_at_1,hit_at_5,hit_at_10,hit_at_20,hit_at_30,failure_type,top1_facet,top2_facet,top3_facet,top4_facet,top5_facet,top6_facet,top7_facet,top8_facet,top9_facet,top10_facet
TEST_001,I signed up for a solo skydiving trip even though I had never tried it before.,Risktaking,Risktaking,2,5,1,1,1,1,1,1,1,TARGET_RETRIEVED,Risktaking,Use of Nature as a Stress Reliever,Travel-companions diversity,Adventure-Seeking Behavior,Naivety,Eco-tourism trips,Acidity,Casual lifestyle,Hesitation,Discontentment
TEST_002,He immediately believed the stranger who promised to double his money.,Naivety,Naivety,6,19,3,3,0,1,0,1,1,TARGET_RETRIEVED,Desire to influence others,Cunningness,Naivety,Assertiveness and control in relationships,Big-heartedness,Contribution to Group Goals,Economic reasoning,Dishonesty,Patience: Resistance to anger,Trust in others
TEST_003,We voted together and chose the option supported by most of the team.,Democratic Leadership,Democratic Leadership,999,999,999,999,0,0,0,0,0,RETRIEVAL_MISS,Risktaking,Contribution to Group Goals,Naivety,Collaboration,Acidity,Decision-making decisiveness,Hesitation,Cooperation,Discontentment,Type of Support Preferred (Emotional vs. Practical)
TEST_004,I tend to pause for a long time before making an important decision.,Hesitation,Hesitation,13,2,6,6,0,0,0,1,1,TARGET_RETRIEVED,Decision-making decisiveness,Decision-making speed,Decision-Making Confidence,Risktaking,Significance: Desire to make an impact,Hesitation,Patience: Resistance to anger,Use of Nature as a Stress Reliever,Rapid cognitive processing,Contribution to Group Goals
TEST_005,I keep complaining that nothing at work is ever good enough.,Discontentment,Discontentment,8,5,3,3,0,1,0,1,1,TARGET_RETRIEVED,Volunteer Work,Work Styles,Discontentment,Compassion Fatigue,Self-improvement,Pure Challenge,Boredom Susceptibility,Inefficiency,Risktaking,Hardworking
TEST_006,"Whenever my friend goes out, I keep checking whether they are safe.",Overprotectiveness,Overprotectiveness,8,4,3,3,0,1,0,1,1,TARGET_RETRIEVED,Eating Habits (Home-Cooked vs. Eating Out),Risktaking,Overprotectiveness,Compulsive activities,Fearfulness: Fear of physical dangers,Safety compliance,Naivety,Harmfulness,Acidity,Common-sense
TEST_007,That was hilarious—I couldn't stop laughing for ten minutes.,Merriness,Merriness,7,999,14,14,0,0,0,1,1,RANKING_FAILURE,Risktaking,Cunningness,HEXACO domain: Honesty-Humility,Naivety,Dignity,Acidity,Joyfulness,Hesitation,Training-cycle length,Discontentment
TEST_008,I got so emotional during the movie that I had to take a break.,Emotionalism,Emotionalism,18,4,4,4,0,1,0,1,1,TARGET_RETRIEVED,Emotional Boundaries,Depth of Emotional Connections,Emotional-intelligence measure: Impulsiveness,Emotionalism,Discontentment,Use of Nature as a Stress Reliever,Compassion Fatigue,Patience: Resistance to anger,Contribution to Group Goals,Withdrawnness
TEST_009,I started a course because I want to improve my Python skills.,Self-improvement,Self-improvement,18,15,5,5,0,1,0,1,1,TARGET_RETRIEVED,Delegation skills,Risktaking,Social Interaction Skills,Naivety,Self-improvement,Adventure-Seeking Behavior,Statistical Reasoning,Pure Challenge,Openness,Use of Nature as a Stress Reliever
TEST_010,"The sample mean is 18.4, but the median is 12, so the distribution is probably skewed.",Statistical Reasoning,Statistical Reasoning,11,24,1,1,1,1,1,1,1,TARGET_RETRIEVED,Statistical Reasoning,Risktaking,Psychological construct: Social Desirability tendency,Naivety,Psychological construct: Social Conformity tendency,Acidity,Emotional-intelligence measure: Impulsiveness,Common-sense,Social Desirability Bias,Hesitation
TEST_011,I told my teammate firmly that the deadline cannot be moved again.,Assertiveness and control in relationships,Assertiveness and control in relationships,12,999,24,24,0,0,0,0,1,RANKING_FAILURE,Hesitation,Pure Challenge,Compassion Fatigue,Desperation,Risktaking,Meeting Deadlines,Naivety,Acidity,Contribution to Group Goals,Common-sense
TEST_012,I quietly changed the plan so that the other person would agree without noticing.,Cunningness,Cunningness,13,25,3,3,0,1,0,1,1,TARGET_RETRIEVED,Hesitation,Discontentment,Cunningness,Risktaking,Courageousness,Naivety,Desire to influence others,Acidity,Cooperation,Common-sense
TEST_013,Next month I want to try rock climbing and a multi-day trek.,Adventure-Seeking Behavior,Adventure-Seeking Behavior,999,1,4,4,0,1,0,1,1,TARGET_RETRIEVED,Risktaking,Enthusiasm,Ideas generated/day,Adventure-Seeking Behavior,Use of Nature as a Stress Reliever,Eco-tourism trips,Contribution to Group Goals,Dance-style mastery diversity,Desire to influence others,Dance-cardio sessions
TEST_014,"After helping customers all day, I feel emotionally drained and have little empathy left.",Compassion Fatigue,Compassion Fatigue,999,1,5,5,0,1,0,1,1,TARGET_RETRIEVED,Social-cognition variable: Cognitive Empathy,Desperation,Sensitiveness,Ideas generated/day,Compassion Fatigue,Compassion,Risktaking,Managing emotions,Naivety,Dignity
TEST_015,"Everything feels gloomy lately, and I don't expect much to improve.",Moroseness,Moroseness,14,26,3,3,0,1,0,1,1,TARGET_RETRIEVED,Discontentment,Patience: Resistance to anger,Moroseness,Unassertiveness,Contribution to Group Goals,Desire to influence others,Self-improvement,Compassion Fatigue,Significance: Desire to make an impact,Happiness
TEST_016,I have worked mainly on database optimization for six years.,Specialist,Specialist,11,999,22,22,0,0,0,0,1,RANKING_FAILURE,Hardworking,Inefficiency,Risktaking,Data Analysis,Naivety,Statistical Reasoning,Acidity,Estimating Calculations,Hesitation,Decision-making speed
TEST_017,I prefer to keep my distance at parties rather than join conversations.,Aloofness,Aloofness,22,999,41,41,0,0,0,0,0,RETRIEVAL_MISS,Desire to influence others,Contribution to Group Goals,Connectedness: Belief in interconnections,Casual lifestyle,Patience: Resistance to anger,Encouraging participation,Significance: Desire to make an impact,Risktaking,Travel-companions diversity,Naivety
