facet_id,raw_facet,normalized_facet,facet_type,conversation_observable,sensitivity,scoring_definition,scoring_anchors,abstention_reason,quality_flag
FACET_001,Risktaking,Risktaking,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Risktaking' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Risktaking through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Risktaking or opposing behavioral tendencies in dialogue.""}",,valid
FACET_002,Naivety,Naivety,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Naivety' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Naivety through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Naivety or opposing behavioral tendencies in dialogue.""}",,valid
FACET_003,Acidity,Acidity,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Acidity' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Acidity through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Acidity or opposing behavioral tendencies in dialogue.""}",,valid
FACET_004,Democratic Leadership:,Democratic Leadership,header_label,False,low,Category header label: 'Democratic Leadership'. Not an evaluable individual facet.,,"Category header or structural section label, not an individual scoreable trait.",header_row
FACET_005,Common-sense,Common-sense,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Common-sense' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Common-sense through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Common-sense or opposing behavioral tendencies in dialogue.""}",,valid
FACET_006,Hesitation,Hesitation,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Hesitation' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Hesitation through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Hesitation or opposing behavioral tendencies in dialogue.""}",,valid
FACET_007,Discontentment,Discontentment,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Discontentment' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Discontentment through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Discontentment or opposing behavioral tendencies in dialogue.""}",,valid
FACET_008,Overprotectiveness,Overprotectiveness,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Overprotectiveness' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Overprotectiveness through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Overprotectiveness or opposing behavioral tendencies in dialogue.""}",,valid
FACET_009,Merriness,Merriness,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Merriness' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Merriness through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Merriness or opposing behavioral tendencies in dialogue.""}",,valid
FACET_010,Emotionalism,Emotionalism,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Emotionalism' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Emotionalism through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Emotionalism or opposing behavioral tendencies in dialogue.""}",,valid
FACET_011,Self-improvement,Self-improvement,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Self-improvement' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Self-improvement through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Self-improvement or opposing behavioral tendencies in dialogue.""}",,valid
FACET_012,Statistical Reasoning,Statistical Reasoning,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Statistical Reasoning' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Statistical Reasoning through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Statistical Reasoning or opposing behavioral tendencies in dialogue.""}",,valid
FACET_013,Assertiveness and control in relationships,Assertiveness and control in relationships,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Assertiveness and control in relationships' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Assertiveness and control in relationships through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Assertiveness and control in relationships or opposing behavioral tendencies in dialogue.""}",,valid
